,Satellite Name,Latitude,Longitude,Distance from Earth Center (km),Distance from Earth Surface (km)
1,Active,-34.928585,82.61374,7104.831957633563,733.8319576335634
2,AE-C,-11.1692915,72.15007,6568.678092212073,197.67809221207335
3,AE-D,-5.7912216,-124.89389,8369.291638424002,1998.2916384240016
4,AE-E,-15.266993,110.649994,6543.071954307809,172.0719543078094
5,AEROCUBE-6A,58.653908,160.9791,6969.045463212479,598.0454632124793
6,AEROCUBE-6B,59.128677,170.28537,6967.643691812002,596.6436918120016
7,AIM,-28.961994,-135.89166,6823.702896651488,452.7028966514881
8,Akebono,-20.662525,143.35321,8742.65093802354,2371.65093802354
9,Alouette-1,54.259106,-162.32216,7401.7789796550005,1030.7789796550005
10,Alouette-2,66.927345,175.7966,7122.559475058629,751.5594750586288
11,APEX-MAIN,18.688707,18.000172,8122.543649674172,1751.5436496741722
12,Aqua,3.1489692,30.995567,7079.143317138533,708.1433171385333
13,Arase (ERG),2.4599016,128.6665,38410.234202673775,32039.234202673775
14,ARIEL-4,75.261116,-53.71120000000002,6678.080687204316,307.08068720431584
16,ARTEMIS_P1 (6-year Predict),-5.1272936,139.48601,353578.7748095442,347207.7748095442
18,ARTEMIS_P2 (6-year Predict),-5.281778,143.78603,351374.12604491855,345003.12604491855
19,ASTRID II,-57.46188,-82.13055000000003,7373.835648255558,1002.8356482555582
20,Aura,-11.162748,-151.00723,7080.133141426989,709.1331414269889
21,BARREL-1A,-78.02564,-99.16919999999999,6403.003847829722,32.00384782972196
22,BARREL-1B,-78.27099,19.740967,6403.029467852676,32.029467852676134
23,BARREL-1C,-69.3002,-59.56448,6403.006501121027,32.00650112102721
24,BARREL-1D,-87.048775,-93.71895999999998,6403.038872070517,32.038872070516845
25,BARREL-1G,-62.259277,-44.387699999999995,6403.00901098384,32.0090109838402
26,BARREL-1H,-75.46578,-86.88376,6403.020449866326,32.02044986632609
27,BARREL-1I,-76.17514,-88.16449999999998,6403.00592364877,32.00592364876957
28,BARREL-1J,-57.355946,-39.76186999999999,6405.72308589631,34.723085896310295
29,BARREL-1K,-74.1736,-22.119799999999998,6403.012159041262,32.01215904126184
30,BARREL-1M,-48.66602,-26.53116,6403.000204633882,32.00020463388228
31,BARREL-1O,-84.964325,-138.58296,6403.057741013742,32.05774101374209
32,BARREL-1Q,-62.115734,-80.51184,6403.028259307261,32.02825930726067
33,BARREL-1R,-48.624123,-48.91016000000002,6403.041359191987,32.041359191986885
34,BARREL-1S,-85.92264,-119.88094000000001,6403.039831205807,32.03983120580688
35,BARREL-1T,-73.518105,-72.02582000000001,6403.015098480177,32.015098480176675
36,BARREL-1U,-76.17379,-105.86410000000001,6403.045186305212,32.045186305212155
37,BARREL-1V,-85.661934,-24.077330000000018,6403.018958266786,32.018958266786285
38,BARREL-2A,-77.144966,-51.38643999999999,6403.02923032824,32.029230328240374
39,BARREL-2B,-69.38583,-25.396360000000016,6403.0097779011,32.00977790110028
40,BARREL-2C,-68.78002,-96.59840000000003,6408.45778481826,37.457784818259825
41,BARREL-2D,-83.318085,-14.602399999999989,6403.00791697079,32.007916970789665
42,BARREL-2E,-78.75095,-113.68025,6403.049114247278,32.04911424727834
43,BARREL-2F,-55.29579,-18.08868000000001,6411.3880956814555,40.388095681455525
44,BARREL-2I,-74.56177,-64.87506000000002,6402.999863763497,31.99986376349716
45,BARREL-2K,-53.425446,-16.13585999999998,6404.683388392389,33.68338839238913
46,BARREL-2L,-75.28948,-107.14125000000001,6403.09381242446,32.09381242446034
47,BARREL-2M,-71.63629,-58.105200000000025,6403.041422135128,32.041422135128414
48,BARREL-2N,-78.58641,-53.918799999999976,6403.082928614369,32.08292861436894
49,BARREL-2O,-78.580345,-128.45506,6403.028141505105,32.02814150510494
50,BARREL-2P,-76.109474,-118.57578000000001,6403.101642586568,32.10164258656823
51,BARREL-2Q,-59.73537,-74.57357999999999,6413.043065632811,42.043065632810794
52,BARREL-2T,-78.14561,-17.483249999999998,6403.00741285185,32.00741285184995
53,BARREL-2W,-85.082565,21.915236,6402.999765822833,31.99976582283307
54,BARREL-2X,-71.22565,-7.604769999999974,6403.006645405901,32.0066454059006
55,BARREL-2Y,-82.67448,-73.93866000000003,6403.031310356757,32.031310356756876
56,BARREL-3A,82.88496,-117.74719999999999,6413.203631911372,42.20363191137221
57,BARREL-3B,78.048805,24.939833,6403.829307689465,32.82930768946517
58,BARREL-3C,67.75745,-114.46512999999999,6403.103055659956,32.103055659956226
59,BARREL-3D,59.58969,-10.97399999999999,6409.489187270102,38.489187270101866
60,BARREL-3E,88.388954,-155.22543,6409.364063597283,38.36406359728335
61,BARREL-3F,48.08731,-46.54266000000001,6412.95951536003,41.95951536003031
62,BARREL-3G,49.33228,-41.019529999999975,6408.9663226636785,37.96632266367851
63,BARREL-4A,45.169746,-63.66147000000001,6405.146300190029,34.14630019002925
64,BARREL-4B,47.657883,-80.73147999999998,6408.639118121603,37.63911812160313
65,BARREL-4C,71.523964,5.90108,6405.463718194963,34.463718194962894
66,BARREL-4D,60.41859,-8.90607,6409.450909908839,38.450909908839094
67,BARREL-4E,48.436413,-38.024080000000026,6402.015231740999,31.015231740999297
68,BARREL-4F,50.085743,-97.50754,6403.628701029336,32.6287010293363
69,BARREL-4G,67.03805,-10.594730000000027,6407.595602530907,36.595602530906945
70,BARREL-4H,46.770363,-53.32384999999999,6406.273758110064,35.27375811006368
71,BARREL-5A,67.604004,51.46028,6415.640689056306,44.640689056305746
72,BARREL-6A,-70.96873,-140.53653,6380.547201488765,9.547201488764586
73,BARREL-7A,-67.6395,-136.10478,6406.643998724358,35.643998724358426
75,CALIPSO,63.878967,-147.3475,7047.988497525844,676.9884975258437
76,CASSIOPE,1.9163005,-60.220579999999984,7137.255749643904,766.255749643904
77,CCE (AMPTE/CCE),7.000137,79.352325,56002.55424337636,49631.55424337636
78,CHAMP,-23.118034,-48.879729999999995,6526.077560553927,155.07756055392656
79,Chandra,44.668205,7.608393,133272.41940796573,126901.41940796573
81,Cloudsat,-63.23563,-95.21942000000001,7065.741898028408,694.7418980284083
82,Cluster-1 (FM5/Rumba),35.541553,134.9741,63618.10599018954,57247.10599018954
